pod,initial_latency,end_latency,initial_request,end_request,1,2,3
1,0,500,0,9,1.96,-0.68,-0.8000000000000002
2,0,500,0,9,6.5,1.96,-1.1
3,0,500,0,9,11.0,-3.2600000000000002,-2.96
1,501,1000,0,9,0.0,0.0,0.0
2,501,1000,0,9,-1.7600000000000002,4.34,0.0
3,501,1000,0,9,4.96,-0.44,7.159999999999999
1,1001,1500,0,9,0.0,0.0,0.0
2,1001,1500,0,9,0.0,0.0,0.0
3,1001,1500,0,9,0.0,0.0,0.0
1,1501,2000,0,9,0.0,0.0,0.0
2,1501,2000,0,9,0.0,0.0,0.0
3,1501,2000,0,9,0.0,0.0,0.0
1,0,500,10,18,1.96,-0.9800000000000001,-1.4600000000000002
2,0,500,10,18,-4.04,4.0,2.2
3,0,500,10,18,-2.44,-6.02,-6.62
1,501,1000,10,18,17.3,14.120000000000001,17.0
2,501,1000,10,18,11.32,3.22,12.8
3,501,1000,10,18,-4.04,-4.58,-3.9800000000000004
1,1001,1500,10,18,0.0,0.0,0.0
2,1001,1500,10,18,0.0,0.0,0.0
3,1001,1500,10,18,0.0,0.0,0.0
1,1501,2000,10,18,0.0,0.0,0.0
2,1501,2000,10,18,0.0,0.0,0.0
3,1501,2000,10,18,0.0,0.0,0.0
1,0,500,19,27,1.96,-1.04,-1.52
2,0,500,19,27,-4.34,-3.2,-3.92
3,0,500,19,27,-1.4000000000000001,-3.02,-0.08000000000000007
1,501,1000,19,27,17.3,17.54,17.0
2,501,1000,19,27,5.86,6.64,8.08
3,501,1000,19,27,-4.1000000000000005,-3.3200000000000003,-3.92
1,1001,1500,19,27,0.0,0.0,0.0
2,1001,1500,19,27,-1.4600000000000002,0.4399999999999999,0.0
3,1001,1500,19,27,0.0,0.0,0.0
1,1501,2000,19,27,0.0,0.0,0.0
2,1501,2000,19,27,0.0,0.0,0.0
3,1501,2000,19,27,0.0,0.0,0.0
1,0,500,28,36,0.0,0.0,0.0
2,0,500,28,36,0.0,1.06,0.0
3,0,500,28,36,-1.4000000000000001,0.0,0.0
1,501,1000,28,36,10.520000000000001,12.64,12.02
2,501,1000,28,36,5.86,5.68,8.2
3,501,1000,28,36,-4.1000000000000005,-4.16,-3.7600000000000002
1,1001,1500,28,36,8.56,11.440000000000001,0.0
2,1001,1500,28,36,-1.4600000000000002,0.0,1.72
3,1001,1500,28,36,0.0,0.0,0.0
1,1501,2000,28,36,0.0,0.0,0.0
2,1501,2000,28,36,0.0,0.0,0.0
3,1501,2000,28,36,0.0,0.0,0.0
1,0,500,37,45,0.0,0.0,0.0
2,0,500,37,45,0.0,0.0,0.0
3,0,500,37,45,0.0,0.0,0.0
1,501,1000,37,45,0.8800000000000001,0.0,12.860000000000001
2,501,1000,37,45,-2.0,7.58,10.1
3,501,1000,37,45,-1.4,0.36,0.0
1,1001,1500,37,45,8.56,10.48,10.0
2,1001,1500,37,45,-1.52,-0.4,3.5
3,1001,1500,37,45,0.0,0.0,0.0
1,1501,2000,37,45,0.38,6.5200000000000005,0.0
2,1501,2000,37,45,0.0,0.0,0.0
3,1501,2000,37,45,0.0,0.0,0.0
1,0,500,46,54,0.0,0.0,0.0
2,0,500,46,54,0.0,0.0,0.0
3,0,500,46,54,0.0,0.0,0.0
1,501,1000,46,54,0.0,0.0,0.0
2,501,1000,46,54,0.0,0.0,0.0
3,501,1000,46,54,0.0,0.0,0.0
1,1001,1500,46,54,8.66,10.76,0.0
2,1001,1500,46,54,0.0,0.0,0.0
3,1001,1500,46,54,0.0,0.0,0.0
1,1501,2000,46,54,0.92,8.74,6.220000000000001
2,1501,2000,46,54,0.0,0.0,0.0
3,1501,2000,46,54,0.0,0.0,0.0
